ID,AGE,WORKCLASS,FNLWGT,EDUCATION,EDUCATION_NUM,MARITAL_STATUS,OCCUPATION,RELATIONSHIP,RACE,SEX,CAPITAL_GAIN,CAPITAL_LOSS,HOURS_PER_WEEK,INCOME
4,53,"Private",234721,"11th",7,"Married-civ-spouse","Handlers-cleaners","Husband","Black","Male",0,0,40,"small"
8,52,"Self-emp-not-inc",209642,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,45,"large"
12,30,"State-gov",141297,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,0,40,"large"
16,34,"Private",245487,"7th-8th",4,"Married-civ-spouse","Transport-moving","Husband","Amer-Indian-Eskimo","Male",0,0,45,"small"
20,43,"Self-emp-not-inc",292175,"Masters",14,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,45,"large"
24,43,"Private",117037,"11th",7,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,2042,40,"small"
32,20,"Private",266015,"Some-college",10,"Never-married","Sales","Own-child","Black","Male",0,0,44,"small"
36,48,"Private",242406,"11th",7,"Never-married","Machine-op-inspct","Unmarried","White","Male",0,0,40,"small"
40,48,"Self-emp-not-inc",265477,"Assoc-acdm",12,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"small"
44,49,"Private",94638,"HS-grad",9,"Separated","Adm-clerical","Unmarried","White","Female",0,0,40,"small"
48,44,"Private",128354,"Masters",14,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,40,"small"
52,18,"Private",226956,"HS-grad",9,"Never-married","Other-service","Own-child","White","Female",0,0,30,"small"
56,43,"Private",237993,"Some-college",10,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"large"
60,30,"Private",188146,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",5013,0,40,"small"
64,42,"Private",116632,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,45,"large"
68,53,"Private",169846,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"large"
72,31,"Private",309974,"Bachelors",13,"Separated","Sales","Own-child","Black","Female",0,0,40,"small"
76,27,"Private",213921,"HS-grad",9,"Never-married","Other-service","Own-child","White","Male",0,0,40,"small"
80,31,"Local-gov",125927,"7th-8th",4,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,40,"small"
84,59,"Private",159937,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,48,"small"
88,33,"Private",202051,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"small"
92,37,"Private",286730,"Some-college",10,"Divorced","Craft-repair","Unmarried","White","Female",0,0,40,"small"
96,29,"Local-gov",115585,"Some-college",10,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,50,"small"
100,32,"Federal-gov",249409,"HS-grad",9,"Never-married","Other-service","Own-child","Black","Male",0,0,40,"small"
104,20,"Private",188300,"Some-college",10,"Never-married","Tech-support","Own-child","White","Female",0,0,40,"small"
108,30,"Private",194901,"11th",7,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,40,"small"
112,38,"Private",65324,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"large"
116,53,"Private",95647,"9th",5,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,50,"small"
120,22,"Private",102632,"HS-grad",9,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,41,"small"
124,29,"State-gov",267989,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"large"
128,31,"Private",114937,"Assoc-acdm",12,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"large"
132,24,"Private",43323,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Female",0,1762,40,"small"
136,38,"Federal-gov",125933,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"large"
140,49,"Private",81973,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male",0,0,40,"large"
144,45,"Private",196584,"Assoc-voc",11,"Never-married","Prof-specialty","Not-in-family","White","Female",0,1564,40,"large"
148,36,"Private",108293,"HS-grad",9,"Widowed","Other-service","Unmarried","White","Female",0,0,24,"small"
152,34,"Private",198183,"HS-grad",9,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"small"
156,48,"Private",187715,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,46,"small"
160,42,"Private",228456,"Bachelors",13,"Separated","Other-service","Other-relative","Black","Male",0,0,50,"small"
164,28,"Private",88419,"HS-grad",9,"Never-married","Exec-managerial","Not-in-family","Asian-Pac-Islander","Female",0,0,40,"small"
168,46,"State-gov",102628,"Masters",14,"Widowed","Protective-serv","Unmarried","White","Male",0,0,40,"small"
172,28,"State-gov",175325,"HS-grad",9,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"small"
176,27,"Private",253814,"HS-grad",9,"Married-spouse-absent","Sales","Unmarried","White","Female",0,0,25,"small"
180,33,"Private",37274,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,65,"small"
